Date,Adj Close,Close,High,Low,Open,Volume
2017-08-18 00:00:00,151.0,151.0,153.0,147.0,153.0,527.0
2017-08-21 00:00:00,148.0,148.0,150.0,146.0,149.0,409.0
2017-08-22 00:00:00,179.0,179.0,179.0,150.0,150.0,6953.0
2017-08-23 00:00:00,170.0,170.0,180.0,161.0,180.0,2827.0
2017-08-24 00:00:00,164.0,164.0,168.0,152.0,168.0,1701.0
2017-08-25 00:00:00,165.0,165.0,168.0,157.0,163.0,614.0
2017-08-28 00:00:00,166.0,166.0,175.0,164.0,164.0,767.0
2017-08-29 00:00:00,169.0,169.0,170.0,160.0,165.0,1463.0
2017-08-30 00:00:00,166.0,166.0,174.0,161.0,168.0,907.0
2017-08-31 00:00:00,164.0,164.0,165.0,161.0,165.0,437.0
2017-09-01 00:00:00,165.0,165.0,172.0,163.0,172.0,555.0
2017-09-05 00:00:00,162.0,162.0,171.0,162.0,171.0,448.0
2017-09-06 00:00:00,161.0,161.0,167.0,160.0,160.0,526.0
2017-09-07 00:00:00,156.0,156.0,162.0,154.0,161.0,918.0
2017-09-08 00:00:00,155.0,155.0,164.0,153.0,156.0,842.0
2017-09-11 00:00:00,158.0,158.0,160.0,155.0,158.0,496.0
2017-09-12 00:00:00,162.0,162.0,163.0,159.0,160.0,306.0
2017-09-13 00:00:00,165.0,165.0,168.0,157.0,165.0,1397.0
2017-09-14 00:00:00,187.0,187.0,192.0,166.0,169.0,4699.0
2017-09-15 00:00:00,179.0,179.0,192.0,177.0,190.0,3197.0
2017-09-18 00:00:00,183.0,183.0,188.0,180.0,180.0,1111.0
2017-09-19 00:00:00,178.0,178.0,183.0,173.0,181.0,891.0
2017-09-20 00:00:00,172.0,172.0,181.0,170.0,176.0,1351.0
2017-09-21 00:00:00,176.0,176.0,193.0,175.0,193.0,1725.0
2017-09-22 00:00:00,179.0,179.0,180.0,172.0,175.0,314.0
2017-09-25 00:00:00,177.0,177.0,181.0,172.0,177.0,1151.0
2017-09-26 00:00:00,181.0,181.0,185.0,177.0,179.0,1117.0
2017-09-27 00:00:00,174.0,174.0,183.0,164.0,182.0,4527.0
2017-09-28 00:00:00,170.0,170.0,175.0,162.0,174.0,1828.0
2017-09-29 00:00:00,167.0,167.0,171.0,165.0,169.0,754.0
2017-10-02 00:00:00,172.0,172.0,172.0,166.0,167.0,643.0
2017-10-03 00:00:00,172.0,172.0,176.0,165.0,175.0,1028.0
2017-10-04 00:00:00,168.0,168.0,175.0,166.0,175.0,851.0
2017-10-05 00:00:00,170.0,170.0,174.0,168.0,168.0,775.0
2017-10-06 00:00:00,172.0,172.0,182.0,171.0,173.0,2007.0
2017-10-09 00:00:00,180.0,180.0,183.0,171.0,171.0,2365.0
2017-10-10 00:00:00,179.0,179.0,192.0,172.0,191.0,4924.0
2017-10-11 00:00:00,192.0,192.0,204.0,188.0,192.0,11636.0
2017-10-12 00:00:00,180.0,180.0,195.0,180.0,195.0,4055.0
2017-10-13 00:00:00,179.0,179.0,185.0,178.0,185.0,3656.0
2017-10-16 00:00:00,171.0,171.0,182.0,164.0,182.0,2563.0
2017-10-17 00:00:00,173.0,173.0,180.0,161.0,173.0,1938.0
2017-10-18 00:00:00,168.0,168.0,173.0,164.0,173.0,1126.0
2017-10-19 00:00:00,162.0,162.0,167.0,160.0,166.0,1282.0
2017-10-20 00:00:00,162.0,162.0,165.0,161.0,161.0,922.0
2017-10-23 00:00:00,167.0,167.0,168.0,162.0,163.0,1020.0
2017-10-24 00:00:00,173.0,173.0,173.0,162.0,162.0,1066.0
2017-10-25 00:00:00,164.0,164.0,175.0,163.0,170.0,1195.0
2017-10-26 00:00:00,160.0,160.0,166.0,154.0,165.0,2415.0
2017-10-27 00:00:00,153.0,153.0,161.0,151.0,159.0,1534.0
2017-10-30 00:00:00,152.0,152.0,165.0,144.0,165.0,3195.0
2017-10-31 00:00:00,152.0,152.0,156.0,147.0,153.0,2225.0
2017-11-01 00:00:00,150.0,150.0,154.0,148.0,151.0,1014.0
2017-11-02 00:00:00,150.0,150.0,154.0,148.0,154.0,966.0
2017-11-03 00:00:00,150.0,150.0,151.0,148.0,149.0,685.0
2017-11-06 00:00:00,154.0,154.0,158.0,150.0,153.0,950.0
2017-11-07 00:00:00,155.0,155.0,165.0,150.0,165.0,1851.0
2017-11-08 00:00:00,156.0,156.0,156.0,150.0,153.0,780.0
2017-11-09 00:00:00,164.0,164.0,165.0,154.0,155.0,1000.0
2017-11-10 00:00:00,153.0,153.0,158.0,150.0,156.0,776.0
2017-11-13 00:00:00,154.0,154.0,154.0,151.0,151.0,695.0
2017-11-14 00:00:00,147.0,147.0,154.0,144.0,152.0,2583.0
2017-11-15 00:00:00,149.0,149.0,149.0,143.0,146.0,1008.0
2017-11-16 00:00:00,150.0,150.0,150.0,146.0,149.0,288.0
2017-11-17 00:00:00,149.0,149.0,152.0,147.0,148.0,863.0
2017-11-20 00:00:00,149.0,149.0,150.0,148.0,148.0,628.0
2017-11-21 00:00:00,147.0,147.0,150.0,147.0,148.0,523.0
2017-11-22 00:00:00,144.0,144.0,147.0,141.0,141.0,1480.0
2017-11-24 00:00:00,146.0,146.0,146.0,142.0,143.0,191.0
2017-11-27 00:00:00,144.0,144.0,147.0,142.0,145.0,665.0
2017-11-28 00:00:00,142.0,142.0,145.0,141.0,144.0,1186.0
2017-11-29 00:00:00,140.0,140.0,142.0,139.0,141.0,1050.0
2017-11-30 00:00:00,139.0,139.0,143.0,139.0,141.0,1376.0
2017-12-01 00:00:00,133.0,133.0,141.0,112.0,141.0,4396.0
2017-12-04 00:00:00,128.0,128.0,136.0,126.0,133.0,2405.0
2017-12-05 00:00:00,121.0,121.0,130.0,119.0,130.0,3311.0
2017-12-06 00:00:00,125.0,125.0,159.0,122.0,140.0,34833.0
2017-12-07 00:00:00,127.0,127.0,130.0,121.0,126.0,3389.0
2017-12-08 00:00:00,124.0,124.0,127.0,120.0,127.0,1813.0
2017-12-11 00:00:00,120.0,120.0,125.0,119.0,124.0,2605.0
2017-12-12 00:00:00,118.0,118.0,127.0,115.0,119.0,5565.0
2017-12-13 00:00:00,119.0,119.0,124.0,118.0,118.0,1426.0
2017-12-14 00:00:00,112.0,112.0,127.0,108.0,120.0,9885.0
2017-12-15 00:00:00,112.0,112.0,116.0,112.0,114.0,2608.0
2017-12-18 00:00:00,116.0,116.0,120.0,115.0,115.0,2470.0
2017-12-19 00:00:00,119.0,119.0,124.0,116.0,116.0,2096.0
2017-12-20 00:00:00,123.0,123.0,128.0,117.0,118.0,3047.0
2017-12-21 00:00:00,140.0,140.0,145.0,116.0,124.0,10617.0
2017-12-22 00:00:00,140.0,140.0,143.0,135.0,140.0,2550.0
2017-12-26 00:00:00,140.0,140.0,141.0,135.0,139.0,1328.0
2017-12-27 00:00:00,137.0,137.0,141.0,135.0,139.0,1815.0
2017-12-28 00:00:00,139.0,139.0,139.0,135.0,137.0,1607.0
2017-12-29 00:00:00,137.0,137.0,139.0,136.0,139.0,878.0
2018-01-02 00:00:00,137.0,137.0,144.0,135.0,138.0,1378.0
2018-01-03 00:00:00,136.0,136.0,140.0,135.0,138.0,1304.0
2018-01-04 00:00:00,131.0,131.0,138.0,130.0,138.0,2032.0
2018-01-05 00:00:00,131.0,131.0,136.0,128.0,131.0,1887.0
2018-01-08 00:00:00,125.0,125.0,131.0,106.0,131.0,8909.0
2018-01-09 00:00:00,119.0,119.0,126.0,118.0,126.0,1729.0
2018-01-10 00:00:00,116.0,116.0,124.0,112.0,116.0,2937.0
2018-01-11 00:00:00,119.0,119.0,126.0,114.0,122.0,3585.0
2018-01-12 00:00:00,120.0,120.0,122.0,116.0,120.0,1644.0
2018-01-16 00:00:00,117.0,117.0,120.0,116.0,119.0,1259.0
