Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,label
2017-09-27,-1.2705190419608965,-0.1290502987999914,0.28550497835567645,-1.2860603458171256,-1.303019802571977,-1.2761707309200523,-1.2789965888743196,-1.281822419879208,-1.281822419879208,-1.281822419879208,1
2017-09-28,-1.281822419879208,-0.1407355517825779,-0.7443225217685585,-1.286605048117343,-1.3042120668458113,-1.2705190419608965,-1.2761707309200523,-1.2789965888743196,-1.281822419879208,-1.281822419879208,0
2017-09-29,-1.2761707309200523,-0.14529932011483274,0.2914900217871147,-1.2864688718929522,-1.305607532107515,-1.281822419879208,-1.2705190419608965,-1.2761707309200523,-1.2789965888743196,-1.281822419879208,1
2017-10-02,-1.2761707309200523,-0.13220983072232165,-0.06162788313505841,-1.286605048117343,-1.3071962048658812,-1.2761707309200523,-1.281822419879208,-1.2705190419608965,-1.2761707309200523,-1.2789965888743196,1
2017-10-03,-1.2874741357877426,-0.13326300802976507,-0.7558952613765789,-1.2857879933683443,-1.3087336301159131,-1.2761707309200523,-1.2761707309200523,-1.281822419879208,-1.2705190419608965,-1.2761707309200523,0
2017-10-04,-1.2789965888743196,-0.14244069599462916,0.4773424431225584,-1.28415388516902,-1.3102222482151504,-1.2874741357877426,-1.2761707309200523,-1.2761707309200523,-1.281822419879208,-1.2705190419608965,1
2017-10-05,-1.2761707309200523,-0.10738493704686958,0.11342286176436564,-1.2825197769696954,-1.3114253948815244,-1.2789965888743196,-1.2874741357877426,-1.2761707309200523,-1.2761707309200523,-1.281822419879208,1
2017-10-06,-1.2705190419608965,-0.12518864867269883,0.28550497835567645,-1.2806133176202625,-1.3127673662820645,-1.2761707309200523,-1.2789965888743196,-1.2874741357877426,-1.2761707309200523,-1.2761707309200523,1
2017-10-09,-1.2535639481340501,-0.144547050609516,0.9624157024876077,-1.279523913019828,-1.3141556127410965,-1.2705190419608965,-1.2761707309200523,-1.2789965888743196,-1.2874741357877426,-1.2761707309200523,1
2017-10-10,-1.259215664042585,-0.14178872909002133,-0.38672210852048444,-1.2785706833451114,-1.3158677832856402,-1.2535639481340501,-1.2705190419608965,-1.2761707309200523,-1.2789965888743196,-1.2874741357877426,0
2017-10-11,-1.259215664042585,-0.14690416172617507,-0.06162788313505841,-1.2785706833451114,-1.3174411295373305,-1.259215664042585,-1.2535639481340501,-1.2705190419608965,-1.2761707309200523,-1.2789965888743196,1
2017-10-12,-1.2563898060883176,-0.13236028462338498,0.10354096726348183,-1.2785706833451114,-1.3190144753477087,-1.259215664042585,-1.259215664042585,-1.2535639481340501,-1.2705190419608965,-1.2761707309200523,1
2017-10-13,-1.2563898060883176,-0.13541951394500634,-0.06162788313505841,-1.2785706833451114,-1.3204489968652333,-1.2563898060883176,-1.259215664042585,-1.259215664042585,-1.2535639481340501,-1.2705190419608965,1
2017-10-16,-1.2563898060883176,-0.0921389417391172,-0.06162788313505841,-1.2777536298947856,-1.3222074424682697,-1.2563898060883176,-1.2563898060883176,-1.259215664042585,-1.259215664042585,-1.2535639481340501,1
2017-10-17,-1.2479122591748943,-0.07940051144908725,0.4299130379638214,-1.2769365764444596,-1.3235031392516285,-1.2563898060883176,-1.2563898060883176,-1.2563898060883176,-1.259215664042585,-1.259215664042585,1
2017-10-18,-1.2422605702157385,-0.0649067856466516,0.25838522395582886,-1.275574819395244,-1.3251690351789918,-1.2479122591748943,-1.2563898060883176,-1.2563898060883176,-1.2563898060883176,-1.259215664042585,1
2017-10-19,-1.2479122591748943,-0.12854878579644688,-0.376717716350522,-1.274828576075141,-1.326742381430682,-1.2422605702157385,-1.2479122591748943,-1.2563898060883176,-1.2563898060883176,-1.2563898060883176,0
2017-10-20,-1.2422605702157385,-0.14549992531625053,0.25838522395582886,-1.2738753464004244,-1.3276678790700365,-1.2479122591748943,-1.2422605702157385,-1.2479122591748943,-1.2563898060883176,-1.2563898060883176,1
2017-10-23,-1.259215664042585,-0.13637238865174087,-1.0068988852482852,-1.2730582916514257,-1.3287784760607375,-1.2422605702157385,-1.2479122591748943,-1.2422605702157385,-1.2479122591748943,-1.2563898060883176,0
2017-10-24,-1.259215664042585,-0.13592102694855085,-0.06162788313505841,-1.2730582916514257,-1.3300741728440966,-1.259215664042585,-1.2422605702157385,-1.2479122591748943,-1.2422605702157385,-1.2479122591748943,1
2017-10-25,-1.2761707309200523,-0.1279469701921935,-1.0526362600256018,-1.2757818057498573,-1.3313698696274554,-1.259215664042585,-1.259215664042585,-1.2422605702157385,-1.2479122591748943,-1.2422605702157385,0
2017-10-26,-1.2705190419608965,-0.144547050609516,0.28550497835567645,-1.279322373298615,-1.3325730167351413,-1.2761707309200523,-1.259215664042585,-1.259215664042585,-1.2422605702157385,-1.2479122591748943,1
2017-10-27,-1.281822419879208,-0.10883932475714858,-0.7443225217685585,-1.282999117071763,-1.3340075378113543,-1.2705190419608965,-1.2761707309200523,-1.259215664042585,-1.259215664042585,-1.2422605702157385,0
2017-10-30,-1.259215664042585,-0.1356702704467786,1.350843736553634,-1.287356739369519,-1.335025585126382,-1.281822419879208,-1.2705190419608965,-1.2761707309200523,-1.259215664042585,-1.259215664042585,1
2017-10-31,-1.259215664042585,-0.14800749033397295,-0.06162788313505841,-1.292395240191883,-1.3364138315854142,-1.259215664042585,-1.281822419879208,-1.2705190419608965,-1.2761707309200523,-1.259215664042585,1
2017-11-01,-1.259215664042585,-0.13501830354217076,-0.06162788313505841,-1.2978422683887463,-1.3375244285761152,-1.259215664042585,-1.259215664042585,-1.281822419879208,-1.2705190419608965,-1.2761707309200523,1
2017-11-02,-1.2635109368717918,-0.14108661088505906,-0.31268270854723684,-1.303561647735718,-1.338357376539797,-1.259215664042585,-1.259215664042585,-1.259215664042585,-1.281822419879208,-1.2705190419608965,0
2017-11-03,-1.2563898060883176,-0.14419599150703485,0.3597611893822696,-1.307919270033474,-1.3391903245034784,-1.2635109368717918,-1.259215664042585,-1.259215664042585,-1.259215664042585,-1.281822419879208,1
2017-11-06,-1.2535639481340501,-0.14183888039037576,0.10221961141974119,-1.3126854197057292,-1.339930722791487,-1.2563898060883176,-1.2635109368717918,-1.259215664042585,-1.259215664042585,-1.259215664042585,1
2017-11-07,-1.2535639481340501,-0.14314281419959143,-0.06162788313505841,-1.3167706908533767,-1.3405785714038223,-1.2535639481340501,-1.2563898060883176,-1.2635109368717918,-1.259215664042585,-1.259215664042585,1
2017-11-08,-1.3157326075329006,0.011925006496363683,-3.637651961061487,-1.320992136926742,-1.3413652443090114,-1.2535639481340501,-1.2535639481340501,-1.2563898060883176,-1.2635109368717918,-1.259215664042585,0
2017-11-09,-1.3326876744103682,-0.07784582113809933,-1.243214801033394,-1.3245327057741723,-1.3414577939846843,-1.3157326075329006,-1.2535639481340501,-1.2535639481340501,-1.2563898060883176,-1.2635109368717918,0
2017-11-10,-1.3326876744103682,-0.0940948424529407,-0.06162788313505841,-1.3282094495473205,-1.3417354434530155,-1.3326876744103682,-1.3157326075329006,-1.2535639481340501,-1.2535639481340501,-1.2563898060883176,1
2017-11-13,-1.346816910282947,-0.09138667223380047,-1.1065696327503822,-1.3312053160945334,-1.3419205432456736,-1.3326876744103682,-1.3326876744103682,-1.3157326075329006,-1.2535639481340501,-1.2535639481340501,0
2017-11-14,-1.3609461461555261,-0.08546881879197553,-1.1627492955559988,-1.3355629383922893,-1.3421519176555121,-1.346816910282947,-1.3326876744103682,-1.3326876744103682,-1.3157326075329006,-1.2535639481340501,0
2017-11-15,-1.3609461461555261,-0.07468628921576907,-0.06162788313505841,-1.3391035059410468,-1.3422907423896777,-1.3609461461555261,-1.346816910282947,-1.3326876744103682,-1.3326876744103682,-1.3157326075329006,1
2017-11-16,-1.3609461461555261,-0.048005797427202415,-0.06162788313505841,-1.343461128238803,-1.34210564259702,-1.3609461461555261,-1.3609461461555261,-1.346816910282947,-1.3326876744103682,-1.3326876744103682,1
