Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,label
2017-09-13,2.752050080364927,-0.27437170732889854,-1.7228311383299666,2.901853708732256,3.126492662440457,3.2235389970721533,2.9151437717059494,3.3955286256727244,3.4133207829885666,3.0456185551007207,0
2017-09-14,2.695708767325462,-0.29256101379100413,-0.22120979261973908,2.9051149146250688,3.1226627798797617,2.752050080364927,3.2235389970721533,2.9151437717059494,3.3955286256727244,3.4133207829885666,0
2017-09-15,2.630471234229703,-0.09745971432361905,-0.2628418135464596,2.924682190548919,3.117607644228614,2.695708767325462,2.752050080364927,3.2235389970721533,2.9151437717059494,3.3955286256727244,0
2017-09-18,2.6808820166950516,-0.29451986217923093,0.23252089738338994,2.963958537484739,3.1122219307231673,2.630471234229703,2.695708767325462,2.752050080364927,3.2235389970721533,2.9151437717059494,1
2017-09-19,2.7283273924749682,-0.3217198712271796,0.2166691286744023,3.0011079986657325,3.113670526771438,2.6808820166950516,2.630471234229703,2.695708767325462,2.752050080364927,3.2235389970721533,1
2017-09-20,2.832114364091096,-0.3214400357431472,0.45099392156201856,3.040242550513433,3.109693136764393,2.7283273924749682,2.6808820166950516,2.630471234229703,2.695708767325462,2.752050080364927,1
2017-09-21,2.8380448946652117,-0.3273165809078275,0.038500034393562865,3.0649143414310056,3.1082492668756165,2.832114364091096,2.7283273924749682,2.6808820166950516,2.630471234229703,2.695708767325462,1
2017-09-22,3.036722617841172,-0.31556349057846694,0.8247645284728646,3.072712881965063,3.1068034158647477,2.8380448946652117,2.832114364091096,2.7283273924749682,2.6808820166950516,2.630471234229703,1
2017-09-25,2.7698422376807685,-0.32552563381002014,-1.0174285170427864,3.081645769681755,3.101181809745741,3.036722617841172,2.8380448946652117,2.832114364091096,2.7283273924749682,2.6808820166950516,0
2017-09-26,2.829148957405664,-0.3294433305864737,0.2608861434175344,3.115959396711971,3.0958100266746413,2.7698422376807685,3.036722617841172,2.8380448946652117,2.832114364091096,2.7283273924749682,1
2017-09-27,3.007069116580351,-0.3283239886503441,0.741885895942196,3.1258848230008547,3.089331825388246,2.829148957405664,2.7698422376807685,3.036722617841172,2.8380448946652117,2.832114364091096,1
2017-09-28,2.870663519814718,-0.3213840686463407,-0.5171998081940278,3.163885041188243,3.082819271235591,3.007069116580351,2.829148957405664,2.7698422376807685,3.036722617841172,2.8380448946652117,0
2017-09-29,3.2116776531271745,-0.31869764799962974,1.3929078538499764,3.199900168708926,3.077522678903812,2.870663519814718,3.007069116580351,2.829148957405664,2.7698422376807685,3.036722617841172,1
2017-10-02,3.5230382851788096,-0.3127091686413365,1.1648362670462216,3.237475001631956,3.0718102443440856,3.2116776531271745,2.870663519814718,3.007069116580351,2.829148957405664,2.7698422376807685,1
2017-10-03,3.5200728784933784,-0.3204326280006306,0.004105992872531698,3.2730647574106033,3.0627054566024903,3.5230382851788096,3.2116776531271745,2.870663519814718,3.007069116580351,2.829148957405664,0
2017-10-04,3.6653744125185597,-0.2969264473419095,0.5124741621586312,3.307378384440819,3.055744769839723,3.5200728784933784,3.5230382851788096,3.2116776531271745,2.870663519814718,3.007069116580351,1
2017-10-05,3.561587723699179,-0.3172984705794678,-0.3299003934695748,3.329781494515447,3.0571717387970474,3.6653744125185597,3.5200728784933784,3.5230382851788096,3.2116776531271745,2.870663519814718,0
2017-10-06,3.576414191532843,-0.32748448219824694,0.0646146132942243,3.350483104099608,3.0575998299378653,3.561587723699179,3.6653744125185597,3.5200728784933784,3.5230382851788096,3.2116776531271745,1
2017-10-09,3.582345004903706,-0.33291329058847535,0.03433769953443618,3.3588488249861443,3.057694963318585,3.576414191532843,3.561587723699179,3.6653744125185597,3.5200728784933784,3.5230382851788096,1
2017-10-10,3.632755787369054,-0.3317379815555393,0.18463326721003848,3.377990715645635,3.0569339144176677,3.582345004903706,3.576414191532843,3.561587723699179,3.6653744125185597,3.5200728784933784,1
