Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,label
2017-09-13,-0.9492867142418844,-0.056312897497890126,0.7926748564065952,-0.9558348904693383,-1.0236093346157633,-0.9818138578016102,-0.8788111719034555,-0.9492867142418844,-0.9763926672083225,-0.992656303613875,1
2017-09-14,-0.927601951868734,-0.13754668483810767,0.5015154630302316,-0.9542533784521785,-1.0249491877800212,-0.9492867142418844,-0.9818138578016102,-0.8788111719034555,-0.9492867142418844,-0.9763926672083225,1
2017-09-15,-0.900495934276606,-0.08876786733915379,0.6141154314637807,-0.9521446968100251,-1.0244019429711624,-0.927601951868734,-0.9492867142418844,-0.9818138578016102,-0.8788111719034555,-0.9492867142418844,1
2017-09-18,-0.857126409530305,-0.09925213313110595,0.9605340756237115,-0.9497724303553748,-1.0229773816780365,-0.900495934276606,-0.927601951868734,-0.9492867142418844,-0.9818138578016102,-0.8788111719034555,1
2017-09-19,-0.857126409530305,-0.11393781425880363,-0.01610129343951641,-0.9505631847928654,-1.0212770518624446,-0.857126409530305,-0.900495934276606,-0.927601951868734,-0.9492867142418844,-0.9818138578016102,1
2017-09-20,-0.8679687907168802,-0.10447499347967035,-0.2485639145943235,-0.9502995999803684,-1.0203976389278906,-0.857126409530305,-0.857126409530305,-0.900495934276606,-0.927601951868734,-0.9492867142418844,0
2017-09-21,-0.8842323624967431,-0.10166120155756554,-0.36902181431391196,-0.9500360151678716,-1.0187019518369251,-0.8679687907168802,-0.857126409530305,-0.857126409530305,-0.900495934276606,-0.927601951868734,0
2017-09-22,-0.8842323624967431,-0.14113137865667955,-0.01610129343951641,-0.9510903575600378,-1.016755397262822,-0.8842323624967431,-0.8679687907168802,-0.857126409530305,-0.857126409530305,-0.900495934276606,1
2017-09-25,-0.8842323624967431,-0.1422491864065568,-0.01610129343951641,-0.9516175271850313,-1.0153899424281063,-0.8842323624967431,-0.8842323624967431,-0.8679687907168802,-0.857126409530305,-0.857126409530305,1
2017-09-26,-0.9655502860217473,-0.0880933281797451,-1.8133831209096865,-0.9563620569521532,-1.0140723982893456,-0.8842323624967431,-0.8842323624967431,-0.8842323624967431,-0.8679687907168802,-0.857126409530305,0
2017-09-27,-0.954707904835172,-0.0980379626441703,0.24798888329288615,-0.9563620569521532,-1.0123063474612752,-0.9655502860217473,-0.8842323624967431,-0.8842323624967431,-0.8842323624967431,-0.8679687907168802,1
2017-09-28,-0.954707904835172,-0.13691069077352233,-0.01610129343951641,-0.9587343234068033,-1.0102117076899302,-0.954707904835172,-0.9655502860217473,-0.8842323624967431,-0.8842323624967431,-0.8842323624967431,1
2017-09-29,-0.9601290954284596,-0.13297909110154027,-0.14637396621386514,-0.9626880987364346,-1.0048445647374777,-0.954707904835172,-0.954707904835172,-0.9655502860217473,-0.8842323624967431,-0.8842323624967431,0
2017-10-02,-0.954707904835172,-0.12989548351567198,0.11505159924603349,-0.9687505557082191,-1.0004987585582774,-0.9601290954284596,-0.954707904835172,-0.954707904835172,-0.9655502860217473,-0.8842323624967431,1
2017-10-03,-0.9763926672083225,-0.12694678376168544,-0.5371919845369135,-0.977712445617469,-0.9968476274140892,-0.954707904835172,-0.9601290954284596,-0.954707904835172,-0.954707904835172,-0.9655502860217473,0
2017-10-04,-0.9872351130205874,-0.09674670196758797,-0.28383568551894145,-0.9864107507142219,-0.9944947243470629,-0.9763926672083225,-0.954707904835172,-0.9601290954284596,-0.954707904835172,-0.954707904835172,0
2017-10-05,-0.9872351130205874,-0.13814413380786963,-0.01610129343951641,-0.9948454709984779,-0.9904020816291667,-0.9872351130205874,-0.9763926672083225,-0.954707904835172,-0.9601290954284596,-0.954707904835172,1
2017-10-06,-0.9980774942071626,-0.1181970472367842,-0.287578623224038,-0.9998535887202752,-0.9842176421542147,-0.9872351130205874,-0.9872351130205874,-0.9763926672083225,-0.954707904835172,-0.9601290954284596,0
2017-10-09,-0.9601290954284596,-0.08306319330529746,0.947548587289427,-1.0048617064420726,-0.9786698365691648,-0.9980774942071626,-0.9872351130205874,-0.9872351130205874,-0.9763926672083225,-0.954707904835172,1
2017-10-10,-0.9763926672083225,-0.1424804569754969,-0.40955997149616613,-1.00986982416387,-0.9723944506347186,-0.9601290954284596,-0.9980774942071626,-0.9872351130205874,-0.9872351130205874,-0.9763926672083225,0
2017-10-11,-0.9818138578016102,-0.13613978887705527,-0.1499676915725576,-1.0117149209935266,-0.9653005346388408,-0.9763926672083225,-0.9601290954284596,-0.9980774942071626,-0.9872351130205874,-0.9872351130205874,0
2017-10-12,-0.9980774942071626,-0.09084930245961488,-0.4204909752579422,-1.0154051115106608,-0.9593889388790927,-0.9818138578016102,-0.9763926672083225,-0.9601290954284596,-0.9980774942071626,-0.9872351130205874,0
2017-10-13,-1.0089198753937378,-0.13773941031222442,-0.2914293619092898,-1.0190953020277953,-0.9552962950770163,-0.9980774942071626,-0.9818138578016102,-0.9763926672083225,-0.9601290954284596,-0.9980774942071626,0
2017-10-16,-1.0251834471736008,-0.13234309703695493,-0.4350357229512978,-1.0183045475903048,-0.9502941747540139,-1.0089198753937378,-0.9980774942071626,-0.9818138578016102,-0.9763926672083225,-0.9601290954284596,0
2017-10-17,-1.0414470189534637,-0.12343918013276028,-0.44427691469199443,-1.0156686963231578,-0.944564474081615,-1.0251834471736008,-1.0089198753937378,-0.9980774942071626,-0.9818138578016102,-0.9763926672083225,0
2017-10-18,-1.0360258283601762,-0.13951248467409869,0.1298432760438648,-1.0111877513685328,-0.939744249930142,-1.0414470189534637,-1.0251834471736008,-1.0089198753937378,-0.9980774942071626,-0.9818138578016102,1
2017-10-19,-1.0414470189534637,-0.14961129951781732,-0.16095672541047568,-1.008024730476392,-0.9354697110407165,-1.0360258283601762,-1.0414470189534637,-1.0251834471736008,-1.0089198753937378,-0.9980774942071626,0
