Date,Close,lag_1,label
2017-08-22,196.25,196.25,0
2017-08-23,218.75,196.25,0
2017-08-24,240.0,218.75,0
2017-08-25,226.25,240.0,1
2017-08-28,237.5,226.25,0
2017-08-29,281.25,237.5,0
2017-08-30,341.25,281.25,0
2017-08-31,328.75,341.25,1
2017-09-01,345.0,328.75,0
2017-09-05,355.0,345.0,0
2017-09-06,335.0,355.0,1
2017-09-07,346.25,335.0,0
2017-09-08,346.25,346.25,0
2017-09-11,350.0,346.25,0
2017-09-12,345.0,350.0,1
2017-09-13,350.0,345.0,0
2017-09-14,350.0,350.0,0
2017-09-15,430.0,350.0,0
2017-09-18,412.5,430.0,1
2017-09-19,418.75,412.5,0
2017-09-20,412.5,418.75,1
2017-09-21,405.0,412.5,1
2017-09-22,373.75,405.0,1
2017-09-25,367.5,373.75,1
2017-09-26,353.75,367.5,1
2017-09-27,378.75,353.75,0
2017-09-28,423.75,378.75,0
2017-09-29,426.25,423.75,0
2017-10-02,443.75,426.25,0
2017-10-03,440.0,443.75,1
2017-10-04,435.0,440.0,1
2017-10-05,462.5,435.0,0
2017-10-06,442.5,462.5,1
2017-10-09,437.5,442.5,1
2017-10-10,498.75,437.5,0
2017-10-11,483.75,498.75,1
2017-10-12,438.75,483.75,1
2017-10-13,402.5,438.75,1
2017-10-16,417.5,402.5,0
2017-10-17,447.5,417.5,0
2017-10-18,437.5,447.5,1
2017-10-19,443.75,437.5,0
2017-10-20,475.0,443.75,0
2017-10-23,465.0,475.0,1
2017-10-24,446.25,465.0,1
2017-10-25,450.0,446.25,0
2017-10-26,435.0,450.0,1
2017-10-27,432.5,435.0,1
2017-10-30,436.25,432.5,0
2017-10-31,448.75,436.25,0
2017-11-01,410.0,448.75,1
2017-11-02,418.75,410.0,0
2017-11-03,412.5,418.75,1
2017-11-06,407.5,412.5,1
2017-11-07,358.25,407.5,1
2017-11-08,377.5,358.25,0
2017-11-09,370.0,377.5,1
2017-11-10,381.25,370.0,0
2017-11-13,367.5,381.25,1
2017-11-14,377.5,367.5,0
2017-11-15,418.75,377.5,0
2017-11-16,402.5,418.75,1
2017-11-17,385.0,402.5,1
2017-11-20,367.5,385.0,1
2017-11-21,403.75,367.5,0
2017-11-22,403.75,403.75,0
2017-11-24,418.75,403.75,0
2017-11-27,416.25,418.75,1
2017-11-28,433.75,416.25,0
2017-11-29,416.25,433.75,1
2017-11-30,432.5,416.25,0
2017-12-01,413.75,432.5,1
2017-12-04,382.5,413.75,1
2017-12-05,381.25,382.5,1
2017-12-06,370.0,381.25,1
2017-12-07,395.0,370.0,0
2017-12-08,405.0,395.0,0
2017-12-11,388.75,405.0,1
2017-12-12,386.25,388.75,1
2017-12-13,400.0,386.25,0
2017-12-14,402.5,400.0,0
