Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,Target
2017-10-06,-1.2013865920464561,-0.35542611704040966,-0.5830873694901635,-1.1882314438924013,-1.2487326154935712,-1.1836739324093788,-1.185807950516403,-1.1922101676526211,-1.1755645170690558,-1.2675421302550798,-1.200106132337698
2017-10-09,-1.200106132337698,-0.809671722540125,-0.013324038665647405,-1.1780964090989923,-1.2447770378479774,-1.2013865920464561,-1.1836739324093788,-1.185807950516403,-1.1922101676526211,-1.1755645170690558,-1.196905023769589
2017-10-10,-1.196905023769589,-0.4404745693964637,0.04496566264373245,-1.1684737623449601,-1.2408735064929426,-1.200106132337698,-1.2013865920464561,-1.1836739324093788,-1.185807950516403,-1.1922101676526211,-1.1168781236425898
2017-10-11,-1.1168781236425898,3.3749363138122805,2.3718555282632816,-1.1588101236095676,-1.2367999554023406,-1.196905023769589,-1.200106132337698,-1.2013865920464561,-1.1836739324093788,-1.185807950516403,-1.1104759879139443
2017-10-12,-1.1104759879139443,1.3592739816966404,0.12984519072364736,-1.1507963749864436,-1.233375256273846,-1.1168781236425898,-1.196905023769589,-1.200106132337698,-1.2013865920464561,-1.1836739324093788,-1.084227174441197
2017-10-13,-1.084227174441197,0.15472448432432312,0.6907229548158432,-1.1418090883066603,-1.2300997602177706,-1.1104759879139443,-1.1168781236425898,-1.196905023769589,-1.200106132337698,-1.2013865920464561,-1.0865746432034675
2017-10-16,-1.0865746432034675,-0.04591700459473684,-0.11740035211238574,-1.1333239436255196,-1.2268520219186014,-1.084227174441197,-1.1104759879139443,-1.1168781236425898,-1.196905023769589,-1.200106132337698,-1.0611793881289866
2017-10-17,-1.0611793881289866,0.21161026959048118,0.6537616246721099,-1.1306697734251767,-1.2239373846440582,-1.0865746432034675,-1.084227174441197,-1.1104759879139443,-1.1168781236425898,-1.196905023769589,-1.069715623372229
2017-10-18,-1.069715623372229,-0.15450440257816664,-0.28516120743854356,-1.1282615472945772,-1.2215432182168529,-1.0611793881289866,-1.0865746432034675,-1.084227174441197,-1.1104759879139443,-1.1168781236425898,-1.062673217085418
2017-10-19,-1.062673217085418,-0.22918450983644803,0.14110488886515635,-1.1256586190255404,-1.219461334827501,-1.069715623372229,-1.0611793881289866,-1.0865746432034675,-1.084227174441197,-1.1104759879139443,-1.065874325653527
2017-10-20,-1.065874325653527,0.7266648179609172,-0.13968920001383778,-1.122543298807916,-1.2180213662773745,-1.062673217085418,-1.069715623372229,-1.0611793881289866,-1.0865746432034675,-1.084227174441197,-1.0976717164566534
2017-10-23,-1.0976717164566534,-0.08346722738126482,-0.9228245637066351,-1.1212623287094727,-1.2171330955547457,-1.065874325653527,-1.062673217085418,-1.069715623372229,-1.0611793881289866,-1.0865746432034675,-1.0978850857043267
2017-10-24,-1.0978850857043267,0.5071081048770018,-0.0582336223587955,-1.1203605246655899,-1.215648019160568,-1.0976717164566534,-1.065874325653527,-1.062673217085418,-1.069715623372229,-1.0611793881289866,-1.1055676811417303
2017-10-25,-1.1055676811417303,-0.011028924468447785,-0.2676515017527411,-1.1202068105993028,-1.2136979887564903,-1.0978850857043267,-1.0976717164566534,-1.065874325653527,-1.062673217085418,-1.069715623372229,-1.1228535208758885
2017-10-26,-1.1228535208758885,-0.0569859135504671,-0.5397146150384032,-1.123855014846985,-1.2129623903295343,-1.1055676811417303,-1.0978850857043267,-1.0976717164566534,-1.065874325653527,-1.062673217085418,-1.0899891210192498
2017-10-27,-1.0899891210192498,0.4477002897221963,0.8867951506358807,-1.1277594131143558,-1.2125425441636855,-1.1228535208758885,-1.1055676811417303,-1.0978850857043267,-1.0976717164566534,-1.065874325653527,-1.0908427608250888
2017-10-30,-1.0908427608250888,0.14869963514588766,-0.07604486987473955,-1.1337850975520118,-1.211650804217803,-1.0899891210192498,-1.1228535208758885,-1.1055676811417303,-1.0978850857043267,-1.0976717164566534,-1.120292601458372
2017-10-31,-1.120292601458372,-0.023498961140093273,-0.8735998167501645,-1.1396160720328097,-1.2123343563542004,-1.0908427608250888,-1.0899891210192498,-1.1228535208758885,-1.1055676811417303,-1.0978850857043267,-1.1420599280618247
2017-11-01,-1.1420599280618247,0.3403739066830902,-0.6730012946309938,-1.1462566244632448,-1.2124523297992087,-1.120292601458372,-1.0908427608250888,-1.0899891210192498,-1.1228535208758885,-1.1055676811417303,-1.1316031253668037
2017-11-02,-1.1316031253668037,-0.4575683275306294,0.2509942816220351,-1.1507553908235038,-1.2122372022195909,-1.1420599280618247,-1.120292601458372,-1.0908427608250888,-1.0899891210192498,-1.1228535208758885,-1.1187987725019406
2017-11-03,-1.1187987725019406,-0.4331887052737045,0.31607951563087694,-1.1550799471267954,-1.2123308871309468,-1.1316031253668037,-1.1420599280618247,-1.120292601458372,-1.0908427608250888,-1.0899891210192498,-1.1747109586707896
2017-11-06,-1.1747109586707896,-0.1955574446544827,-1.6449078000385244,-1.1603677915368007,-1.2123274179076933,-1.1187987725019406,-1.1316031253668037,-1.1420599280618247,-1.120292601458372,-1.0908427608250888,-1.1813264636471086
2017-11-07,-1.1813264636471086,-0.05110117714362317,-0.24909687898928531,-1.1637700478055293,-1.2122267932262043,-1.1747109586707896,-1.1187987725019406,-1.1316031253668037,-1.1420599280618247,-1.120292601458372,-1.1937039966090526
2017-11-08,-1.1937039966090526,-0.3882125055928259,-0.4224995316727476,-1.1670800740708012,-1.2120671824840241,-1.1813264636471086,-1.1747109586707896,-1.1187987725019406,-1.1316031253668037,-1.1420599280618247,-1.1928503568032138
2017-11-09,-1.1928503568032138,-0.4481807718339974,-0.026461565034428716,-1.1702158902791062,-1.2117132621489994,-1.1937039966090526,-1.1813264636471086,-1.1747109586707896,-1.1187987725019406,-1.1316031253668037,-1.1917833477497017
2017-11-10,-1.1917833477497017,-0.750123794613728,-0.02003738260906466,-1.1728393145388232,-1.2112587171324856,-1.1928503568032138,-1.1937039966090526,-1.1813264636471086,-1.1747109586707896,-1.1187987725019406,-1.2097093766344524
2017-11-13,-1.2097093766344524,-0.3590690491017892,-0.5930041045512328,-1.1769794108352023,-1.2108839774870617,-1.1917833477497017,-1.1928503568032138,-1.1937039966090526,-1.1813264636471086,-1.1747109586707896,-1.208002097022775
2017-11-14,-1.208002097022775,-0.45140336558060246,6.431415125213047e-06,-1.180617365132939,-1.2111997297481685,-1.2097093766344524,-1.1917833477497017,-1.1928503568032138,-1.1937039966090526,-1.1813264636471086,-1.1994659431871053
2017-11-15,-1.1994659431871053,-0.3634125450211264,0.20866837484085624,-1.1810067811374447,-1.2120984094641838,-1.208002097022775,-1.2097093766344524,-1.1917833477497017,-1.1928503568032138,-1.1937039966090526,-1.1634004347623577
2017-11-16,-1.1634004347623577,-0.3674758153972806,1.0424899048197371,-1.181867593199967,-1.2125598929272048,-1.1994659431871053,-1.208002097022775,-1.2097093766344524,-1.1917833477497017,-1.1928503568032138,-1.1527301814120912
2017-11-17,-1.1527301814120912,-0.4942778736876083,0.2624033715949021,-1.1848394414828292,-1.2135002112640176,-1.1634004347623577,-1.1994659431871053,-1.208002097022775,-1.2097093766344524,-1.1917833477497017,-1.1759913369719752
2017-11-20,-1.1759913369719752,-0.3897537460803326,-0.7324653875494876,-1.190301499859012,-1.2146556571804485,-1.1527301814120912,-1.1634004347623577,-1.1994659431871053,-1.208002097022775,-1.2097093766344524,-1.1685221921898177
2017-11-21,-1.1685221921898177,-0.24361612531037483,0.17021955193765473,-1.1923612980572562,-1.2156376114908074,-1.1759913369719752,-1.1527301814120912,-1.1634004347623577,-1.1994659431871053,-1.208002097022775,-1.1668149125781402
2017-11-22,-1.1668149125781402,-0.7602119141683176,-0.0017016014105359102,-1.1935705341429235,-1.2163801496878963,-1.1685221921898177,-1.1759913369719752,-1.1527301814120912,-1.1634004347623577,-1.1994659431871053,-1.170869660952088
2017-11-24,-1.170869660952088,-1.1208621882448961,-0.17214651605555556,-1.1921460960189283,-1.2178860453924725,-1.1668149125781402,-1.1685221921898177,-1.1759913369719752,-1.1527301814120912,-1.1634004347623577,-1.1774851659284067
2017-11-27,-1.1774851659284067,-0.134748501783762,-0.24849572378122411,-1.1948515042413668,-1.2212482879133968,-1.170869660952088,-1.1668149125781402,-1.1685221921898177,-1.1759913369719752,-1.1527301814120912,-1.1762047876272212
2017-11-28,-1.1762047876272212,-0.14847955339973118,-0.01407010850333821,-1.1982845025415103,-1.2245133749760855,-1.1774851659284067,-1.170869660952088,-1.1668149125781402,-1.1685221921898177,-1.1759913369719752,-1.1666015433304668
