Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,Target
2017-10-24,-1.3134969741547418,-1.1681120949259978,-0.17976713504944064,-1.3443927914604583,-1.387378959106139,-1.3105249024439554,-1.3194412206462007,-1.3221431461845965,-1.3540257026258473,-1.3402459802964215,-1.322953687771655
2017-10-25,-1.322953687771655,-1.044919079236716,-0.47457007944567836,-1.3463607607506418,-1.3874998200141448,-1.3134969741547418,-1.3105249024439554,-1.3194412206462007,-1.3221431461845965,-1.3540257026258473,-1.335112326926964
2017-10-26,-1.335112326926964,-1.1069685025802145,-0.6072739411224296,-1.348771846599717,-1.3877281125557812,-1.322953687771655,-1.3134969741547418,-1.3105249024439554,-1.3194412206462007,-1.3221431461845965,-1.322683490064321
2017-10-27,-1.322683490064321,-1.1214617985436595,0.5421895647114545,-1.3504270239288263,-1.3882428903075563,-1.335112326926964,-1.322953687771655,-1.3134969741547418,-1.3105249024439554,-1.3194412206462007,-1.321062355355261
2017-10-30,-1.321062355355261,-1.0929281221156273,0.02906142614093524,-1.3513002288127378,-1.388600996606782,-1.322683490064321,-1.335112326926964,-1.322953687771655,-1.3134969741547418,-1.3105249024439554,-1.313226827982351
2017-10-31,-1.313226827982351,-0.9825299692690742,0.3147603687402078,-1.3525774556106085,-1.3886636657000762,-1.321062355355261,-1.322683490064321,-1.335112326926964,-1.322953687771655,-1.3134969741547418,-1.336733461636024
2017-11-01,-1.336733461636024,-1.114215150561937,-1.1110957812343742,-1.3534115608779282,-1.3886189023059492,-1.313226827982351,-1.321062355355261,-1.322683490064321,-1.335112326926964,-1.322953687771655,-1.3302488712648404
2017-11-02,-1.3302488712648404,-1.1716221900421446,0.2619911343468855,-1.352590488816139,-1.3880862197087978,-1.336733461636024,-1.313226827982351,-1.321062355355261,-1.322683490064321,-1.335112326926964,-1.3199816160608686
2017-11-03,-1.3199816160608686,-1.015366342936254,0.4352515931510888,-1.3530857381971526,-1.388005645770127,-1.3302488712648404,-1.336733461636024,-1.313226827982351,-1.321062355355261,-1.322683490064321,-1.3237642808936567
2017-11-06,-1.3237642808936567,-1.036993058006707,-0.21944760161755247,-1.3531248353279148,-1.388010122194919,-1.3199816160608686,-1.3302488712648404,-1.336733461636024,-1.313226827982351,-1.321062355355261,-1.344839238251211
2017-11-07,-1.344839238251211,-1.0378988890044223,-1.020589746277158,-1.3535288547560442,-1.3877370662591553,-1.3237642808936567,-1.3199816160608686,-1.3302488712648404,-1.336733461636024,-1.313226827982351,-1.3499728400857254
2017-11-08,-1.3499728400857254,-1.1010806010950651,-0.29343708986468164,-1.3528511454692616,-1.3867522758573136,-1.344839238251211,-1.3237642808936567,-1.3199816160608686,-1.3302488712648404,-1.336733461636024,-1.376721794692462
2017-11-09,-1.376721794692462,-0.9051946478391298,-1.349939234645633,-1.3514435915877445,-1.3848408860145514,-1.3499728400857254,-1.344839238251211,-1.3237642808936567,-1.3199816160608686,-1.3302488712648404,-1.3632122185354267
2017-11-10,-1.3632122185354267,-1.168451781550141,0.651378691631563,-1.3500621041172887,-1.3829071149016208,-1.376721794692462,-1.3499728400857254,-1.344839238251211,-1.3237642808936567,-1.3199816160608686,-1.3551064934551829
2017-11-13,-1.3551064934551829,-1.0407296108722828,0.36053448758774564,-1.3497232507168122,-1.3812329704500783,-1.3632122185354267,-1.376721794692462,-1.3499728400857254,-1.344839238251211,-1.3237642808936567,-1.3629420723630359
2017-11-14,-1.3629420723630359,-1.049335005350578,-0.431887202696884,-1.350179402967064,-1.37872175419966,-1.3551064934551829,-1.3632122185354267,-1.376721794692462,-1.3499728400857254,-1.344839238251211,-1.3575382212862446
2017-11-15,-1.3575382212862446,-1.1655078308075664,0.22494760390292948,-1.3505834223951934,-1.3756868073478827,-1.3629420723630359,-1.3551064934551829,-1.3632122185354267,-1.376721794692462,-1.3499728400857254,-1.3370036593433579
