Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,Target
2017-09-13,0.5364112386807507,-0.22045440750062448,-0.3060602144344908,0.6743840037784546,0.4674809515775435,0.6014477026276891,0.6404696058052943,0.5832374480655506,0.5663279525536813,0.5767339009086252,0.5806360540122225
2017-09-14,0.5806360540122225,-0.20367256926259952,0.17908894284984497,0.6934441968913737,0.4576037139078597,0.5364112386807507,0.6014477026276891,0.6404696058052943,0.5832374480655506,0.5663279525536813,0.6235601102934248
2017-09-15,0.6235601102934248,-0.1882551081170969,0.16857852278246693,0.7095915425906325,0.44876108456623015,0.5806360540122225,0.5364112386807507,0.6014477026276891,0.6404696058052943,0.5832374480655506,0.6872958151900942
2017-09-18,0.6872958151900942,-0.21506511798516117,0.25434190777667043,0.6986366844999622,0.44042878627294496,0.6235601102934248,0.5806360540122225,0.5364112386807507,0.6014477026276891,0.6404696058052943,0.6690856846751662
2017-09-19,0.6690856846751662,-0.22642355728040978,-0.09763163644008198,0.6909112955491435,0.43145447347292126,0.6872958151900942,0.6235601102934248,0.5806360540122225,0.5364112386807507,0.6014477026276891,0.808263677826507
2017-09-20,0.808263677826507,-0.16250249049573745,0.5666949082694488,0.6810329211328152,0.422713888722087,0.6690856846751662,0.6872958151900942,0.6235601102934248,0.5806360540122225,0.5364112386807507,0.8967133084894506
2017-09-21,0.8967133084894506,-0.17137094159713276,0.3274901996632502,0.6664053295245664,0.4151466331257031,0.808263677826507,0.6690856846751662,0.6872958151900942,0.6235601102934248,0.5806360540122225,0.8941117903889121
2017-09-22,0.8941117903889121,-0.20032984538591975,-0.031241548159010316,0.6517777439552599,0.40787982610207874,0.8967133084894506,0.808263677826507,0.6690856846751662,0.6872958151900942,0.6235601102934248,0.907119132797184
2017-09-25,0.907119132797184,-0.16301413190543335,0.02788927588849675,0.6338573649008632,0.3998795052234061,0.8941117903889121,0.8967133084894506,0.808263677826507,0.6690856846751662,0.6872958151900942,0.8746009008237148
2017-09-26,0.8746009008237148,-0.21949934353585882,-0.1438776615079015,0.6129608080486258,0.39313551823398446,0.907119132797184,0.8941117903889121,0.8967133084894506,0.808263677826507,0.6690856846751662,0.8746009008237148
2017-09-27,0.8746009008237148,-0.20988048503357623,-0.021396050883448585,0.5906078274895586,0.3866001142388699,0.8746009008237148,0.907119132797184,0.8941117903889121,0.8967133084894506,0.808263677826507,0.8615935584154428
2017-09-28,0.8615935584154428,-0.1640374147248251,-0.071126725850878,0.5707877603506055,0.3811581077322616,0.8746009008237148,0.8746009008237148,0.907119132797184,0.8941117903889121,0.8967133084894506,0.8017601306695816
2017-09-29,0.8017601306695816,-0.17734009137691806,-0.2515422559655074,0.5495745878111185,0.37432187151809715,0.8615935584154428,0.8746009008237148,0.8746009008237148,0.907119132797184,0.8941117903889121,0.31528728607060214
2017-10-02,0.31528728607060214,0.32219247162282916,-1.9462513750629558,0.5251319521707218,0.36739069927517304,0.8017601306695816,0.8615935584154428,0.8746009008237148,0.8746009008237148,0.907119132797184,0.35951210140207396
2017-10-03,0.35951210140207396,-0.03895814476783821,0.20679824738821817,0.49834637010698407,0.35985343942045184,0.31528728607060214,0.8017601306695816,0.8615935584154428,0.8746009008237148,0.8746009008237148,0.32959526348193274
2017-10-04,0.32959526348193274,-0.15182623974675002,-0.17161076711643888,0.46940780257773673,0.35293060763836703,0.35951210140207396,0.31528728607060214,0.8017601306695816,0.8615935584154428,0.8746009008237148,0.27626538289299696
2017-10-05,0.27626538289299696,-0.16598165208166946,-0.2941322061280344,0.43274384609767064,0.34542761010269574,0.32959526348193274,0.35951210140207396,0.31528728607060214,0.8017601306695816,0.8615935584154428,0.2658595585852634
2017-10-06,0.2658595585852634,-0.17751063851348337,-0.07643107001778342,0.38974759398943565,0.3372625851677442,0.27626538289299696,0.32959526348193274,0.35951210140207396,0.31528728607060214,0.8017601306695816,0.21513107204965584
2017-10-09,0.21513107204965584,-0.1808874718174762,-0.2914929051933792,0.3466880235749043,0.3295609785704755,0.2658595585852634,0.27626538289299696,0.32959526348193274,0.35951210140207396,0.31528728607060214,0.21122891894605852
2017-10-10,0.21122891894605852,-0.19988642283084998,-0.042875289706738845,0.3056547838964641,0.32108700597253487,0.21513107204965584,0.2658595585852634,0.27626538289299696,0.32959526348193274,0.35951210140207396,0.14229030189552275
2017-10-11,0.14229030189552275,-0.17600982371170876,-0.40185570213449956,0.263924994537228,0.3126792356936158,0.21122891894605852,0.21513107204965584,0.2658595585852634,0.27626538289299696,0.32959526348193274,0.12928295948725083
2017-10-12,0.12928295948725083,-0.20295627128902527,-0.09664939667517813,0.2208020997774585,0.3056396607046949,0.14229030189552275,0.21122891894605852,0.21513107204965584,0.2658595585852634,0.27626538289299696,0.14489169594885076
2017-10-13,0.14489169594885076,-0.13801192168496118,0.06973829638863137,0.17805914505017692,0.29873249035381677,0.12928295948725083,0.14229030189552275,0.21122891894605852,0.21513107204965584,0.2658595585852634,0.12147865328005614
2017-10-16,0.12147865328005614,-0.20640132344764422,-0.15660456873228518,0.13968546144338537,0.29156050862231947,0.14489169594885076,0.12928295948725083,0.14229030189552275,0.21122891894605852,0.21513107204965584,0.13708738974165585
2017-10-17,0.13708738974165585,-0.19865848344757986,0.0702441254314683,0.1253744855223866,0.2837706336693782,0.12147865328005614,0.14489169594885076,0.12928295948725083,0.14229030189552275,0.21122891894605852,0.07465231984804568
2017-10-18,0.07465231984804568,-0.21970400009973717,-0.3839330261684136,0.10663090809671731,0.2764662472998385,0.13708738974165585,0.12147865328005614,0.14489169594885076,0.12928295948725083,0.14229030189552275,0.05514143028284839
2017-10-19,0.05514143028284839,-0.1801370644165889,-0.13989231738262006,0.0890904690748085,0.2674847179773114,0.07465231984804568,0.13708738974165585,0.12147865328005614,0.14489169594885076,0.12928295948725083,0.013518009004704592
2017-10-20,0.013518009004704592,-0.16448083727989488,-0.2778706860639844,0.07623592289958155,0.25768668637174247,0.05514143028284839,0.07465231984804568,0.13708738974165585,0.12147865328005614,0.14489169594885076,0.00961585590110725
2017-10-23,0.00961585590110725,-0.14473147886563378,-0.0462112441957193,0.06395127771467392,0.24788865687070744,0.013518009004704592,0.05514143028284839,0.07465231984804568,0.13708738974165585,0.12147865328005614,0.06424649554031238
2017-10-24,0.06424649554031238,-0.16359399216975534,0.3270672866383827,0.051603314223469934,0.2383995750326612,0.00961585590110725,0.013518009004704592,0.05514143028284839,0.07465231984804568,0.13708738974165585,0.017420286155512523
2017-10-25,0.017420286155512523,-0.1491998138436445,-0.30798149601856223,0.04197823114915278,0.2282484615862672,0.06424649554031238,0.00961585590110725,0.013518009004704592,0.05514143028284839,0.07465231984804568,-0.011195792714359352
2017-10-26,-0.011195792714359352,-0.12518677701525105,-0.20283056899743732,0.0356459415599259,0.2187373095025021,0.017420286155512523,0.06424649554031238,0.00961585590110725,0.013518009004704592,0.05514143028284839,-0.016398704868226005
2017-10-27,-0.016398704868226005,-0.20902774935074975,-0.05512537836993265,0.03228982976853951,0.20957924136409625,-0.011195792714359352,0.017420286155512523,0.06424649554031238,0.00961585590110725,0.013518009004704592,0.013518009004704592
2017-10-30,0.013518009004704592,-0.20670830829346176,0.17334304572444723,0.023867885097983058,0.2001784278817226,-0.016398704868226005,-0.011195792714359352,0.017420286155512523,0.06424649554031238,0.00961585590110725,0.021322439259109864
2017-10-31,0.021322439259109864,-0.209744047324324,0.028235124601864663,0.015699231769437973,0.18951975981527552,0.013518009004704592,-0.016398704868226005,-0.011195792714359352,0.017420286155512523,0.06424649554031238,-0.025503770125690224
2017-11-01,-0.025503770125690224,-0.20520749349168715,-0.31740113500155065,0.004427751952575804,0.17802252132460183,0.021322439259109864,0.013518009004704592,-0.016398704868226005,-0.011195792714359352,0.017420286155512523,-0.030706682279556644
